Date,Keyword,Word Count,Ref,Link,Title,Data,Sentiment,Lang,Ref Link
19-04-2022,anime,2,0,https://www.animenewsnetwork.com/review/ya-boy-kongming/.184657,Ya Boy Kongming! - Anime News Network:SEA,"  Spy×Family Anime Adds 6 Cast Members Including Kensho Ono as Yuri   Apr 18, 07:20 7 comments                 anime    Anime's opening sequence video also streamed ― The official website for the television anime of Tatsuya Endō's SPY×FAMILY manga announced six more cast members for the show on Saturday. Toho Animation also began streaming the show's opening theme sequence on Saturday. The new cast includes: Kensho Ono as Yuri Briar Umeka Shouji as Camilla Manaka Iwami as Millie Mirei Kumagai as Sharon Shōhei Kajikawa...  ",positive,en,"{'https://twitter.com/anime': 1, 'https://www.youtube.com/c/animenewsnetworkANN': 1, 'https://www.facebook.com/animenewsnetwork': 1, 'https://www.instagram.com/animenewsnetwork/': 1, 'http://news.dexclub.com': 4, 'https://www.hidive.com/tv/ya-boy-kongming': 1, 'https://twitter.com/BeeDubsProwl': 1}"
19-04-2022,anime,1,0,https://www.animenewsnetwork.com/review/ya-boy-kongming/.184657,Ya Boy Kongming! - Anime News Network:SEA, Anime's opening sequence video also streamed ― The official website for the television anime of Tatsuya Endō's SPY×FAMILY manga announced six more cast members for the show on Saturday. Toho Animation also began streaming the show's opening theme sequence on Saturday. The new cast includes: Kensho Ono as Yuri Briar Umeka Shouji as Camilla Manaka Iwami as Millie Mirei Kumagai as Sharon Shōhei Kajikawa... ,positive,en,"{'https://twitter.com/anime': 1, 'https://www.youtube.com/c/animenewsnetworkANN': 1, 'https://www.facebook.com/animenewsnetwork': 1, 'https://www.instagram.com/animenewsnetwork/': 1, 'http://news.dexclub.com': 4, 'https://www.hidive.com/tv/ya-boy-kongming': 1, 'https://twitter.com/BeeDubsProwl': 1}"
19-04-2022,anime,2,0,https://www.animenewsnetwork.com/review/ya-boy-kongming/.184657,Ya Boy Kongming! - Anime News Network:SEA,"               news          16 comments       The Unwanted Undead Adventurer Light Novels Get TV Anime   Apr 18, 07:20 16 comments                 anime    Yū Okano's dark fantasy of talentless adventurer reborn as skeleton ― The ""Overlap Bunko 9th Anniversary Online Event"" announced on Sunday that a television anime adaptation of Yū Okano's The Unwanted Undead Adventurer (Nozomanu Fushi no Bōkensha) light novel series has been green-lit. The novels' illustrator Jaian drew the following illustration to celebrate the news: J-Novel Club is publishing both...    ",positive,en,"{'https://twitter.com/anime': 1, 'https://www.youtube.com/c/animenewsnetworkANN': 1, 'https://www.facebook.com/animenewsnetwork': 1, 'https://www.instagram.com/animenewsnetwork/': 1, 'http://news.dexclub.com': 4, 'https://www.hidive.com/tv/ya-boy-kongming': 1, 'https://twitter.com/BeeDubsProwl': 1}"
19-04-2022,anime,2,0,https://www.animenewsnetwork.com/review/ya-boy-kongming/.184657,Ya Boy Kongming! - Anime News Network:SEA,"   The Unwanted Undead Adventurer Light Novels Get TV Anime   Apr 18, 07:20 16 comments                 anime    Yū Okano's dark fantasy of talentless adventurer reborn as skeleton ― The ""Overlap Bunko 9th Anniversary Online Event"" announced on Sunday that a television anime adaptation of Yū Okano's The Unwanted Undead Adventurer (Nozomanu Fushi no Bōkensha) light novel series has been green-lit. The novels' illustrator Jaian drew the following illustration to celebrate the news: J-Novel Club is publishing both...   ",positive,en,"{'https://twitter.com/anime': 1, 'https://www.youtube.com/c/animenewsnetworkANN': 1, 'https://www.facebook.com/animenewsnetwork': 1, 'https://www.instagram.com/animenewsnetwork/': 1, 'http://news.dexclub.com': 4, 'https://www.hidive.com/tv/ya-boy-kongming': 1, 'https://twitter.com/BeeDubsProwl': 1}"
19-04-2022,anime,2,0,https://www.animenewsnetwork.com/review/ya-boy-kongming/.184657,Ya Boy Kongming! - Anime News Network:SEA,"  The Unwanted Undead Adventurer Light Novels Get TV Anime   Apr 18, 07:20 16 comments                 anime    Yū Okano's dark fantasy of talentless adventurer reborn as skeleton ― The ""Overlap Bunko 9th Anniversary Online Event"" announced on Sunday that a television anime adaptation of Yū Okano's The Unwanted Undead Adventurer (Nozomanu Fushi no Bōkensha) light novel series has been green-lit. The novels' illustrator Jaian drew the following illustration to celebrate the news: J-Novel Club is publishing both...  ",positive,en,"{'https://twitter.com/anime': 1, 'https://www.youtube.com/c/animenewsnetworkANN': 1, 'https://www.facebook.com/animenewsnetwork': 1, 'https://www.instagram.com/animenewsnetwork/': 1, 'http://news.dexclub.com': 4, 'https://www.hidive.com/tv/ya-boy-kongming': 1, 'https://twitter.com/BeeDubsProwl': 1}"
19-04-2022,anime,1,0,https://www.animenewsnetwork.com/review/ya-boy-kongming/.184657,Ya Boy Kongming! - Anime News Network:SEA," Yū Okano's dark fantasy of talentless adventurer reborn as skeleton ― The ""Overlap Bunko 9th Anniversary Online Event"" announced on Sunday that a television anime adaptation of Yū Okano's The Unwanted Undead Adventurer (Nozomanu Fushi no Bōkensha) light novel series has been green-lit. The novels' illustrator Jaian drew the following illustration to celebrate the news: J-Novel Club is publishing both... ",positive,en,"{'https://twitter.com/anime': 1, 'https://www.youtube.com/c/animenewsnetworkANN': 1, 'https://www.facebook.com/animenewsnetwork': 1, 'https://www.instagram.com/animenewsnetwork/': 1, 'http://news.dexclub.com': 4, 'https://www.hidive.com/tv/ya-boy-kongming': 1, 'https://twitter.com/BeeDubsProwl': 1}"
19-04-2022,anime,3,0,https://www.animenewsnetwork.com/review/ya-boy-kongming/.184657,Ya Boy Kongming! - Anime News Network:SEA,"               news          3 comments       Lucifer and the Biscuit Hammer Anime Reveals 24 More Cast Members, July Premiere   Apr 18, 07:17 3 comments                 anime    M.A.O, Tetsu Inada, Yoshitsugu Matsuoka, more join cast ― A livestream event for the television anime of Satoshi Mizukami's Lucifer and the Biscuit Hammer (Hoshi no Samidare) manga revealed 24 more cast members for the anime on Saturday. The event also revealed a new visual and the show's July premiere on MBS and TBS' ""Animeism"" programming block and on BS11. The additional cast includes: M.A.O as An...    ",positive,en,"{'https://twitter.com/anime': 1, 'https://www.youtube.com/c/animenewsnetworkANN': 1, 'https://www.facebook.com/animenewsnetwork': 1, 'https://www.instagram.com/animenewsnetwork/': 1, 'http://news.dexclub.com': 4, 'https://www.hidive.com/tv/ya-boy-kongming': 1, 'https://twitter.com/BeeDubsProwl': 1}"
19-04-2022,anime,3,0,https://www.animenewsnetwork.com/review/ya-boy-kongming/.184657,Ya Boy Kongming! - Anime News Network:SEA,"   Lucifer and the Biscuit Hammer Anime Reveals 24 More Cast Members, July Premiere   Apr 18, 07:17 3 comments                 anime    M.A.O, Tetsu Inada, Yoshitsugu Matsuoka, more join cast ― A livestream event for the television anime of Satoshi Mizukami's Lucifer and the Biscuit Hammer (Hoshi no Samidare) manga revealed 24 more cast members for the anime on Saturday. The event also revealed a new visual and the show's July premiere on MBS and TBS' ""Animeism"" programming block and on BS11. The additional cast includes: M.A.O as An...   ",positive,en,"{'https://twitter.com/anime': 1, 'https://www.youtube.com/c/animenewsnetworkANN': 1, 'https://www.facebook.com/animenewsnetwork': 1, 'https://www.instagram.com/animenewsnetwork/': 1, 'http://news.dexclub.com': 4, 'https://www.hidive.com/tv/ya-boy-kongming': 1, 'https://twitter.com/BeeDubsProwl': 1}"
19-04-2022,anime,3,0,https://www.animenewsnetwork.com/review/ya-boy-kongming/.184657,Ya Boy Kongming! - Anime News Network:SEA,"  Lucifer and the Biscuit Hammer Anime Reveals 24 More Cast Members, July Premiere   Apr 18, 07:17 3 comments                 anime    M.A.O, Tetsu Inada, Yoshitsugu Matsuoka, more join cast ― A livestream event for the television anime of Satoshi Mizukami's Lucifer and the Biscuit Hammer (Hoshi no Samidare) manga revealed 24 more cast members for the anime on Saturday. The event also revealed a new visual and the show's July premiere on MBS and TBS' ""Animeism"" programming block and on BS11. The additional cast includes: M.A.O as An...  ",positive,en,"{'https://twitter.com/anime': 1, 'https://www.youtube.com/c/animenewsnetworkANN': 1, 'https://www.facebook.com/animenewsnetwork': 1, 'https://www.instagram.com/animenewsnetwork/': 1, 'http://news.dexclub.com': 4, 'https://www.hidive.com/tv/ya-boy-kongming': 1, 'https://twitter.com/BeeDubsProwl': 1}"
19-04-2022,anime,2,0,https://www.animenewsnetwork.com/review/ya-boy-kongming/.184657,Ya Boy Kongming! - Anime News Network:SEA," M.A.O, Tetsu Inada, Yoshitsugu Matsuoka, more join cast ― A livestream event for the television anime of Satoshi Mizukami's Lucifer and the Biscuit Hammer (Hoshi no Samidare) manga revealed 24 more cast members for the anime on Saturday. The event also revealed a new visual and the show's July premiere on MBS and TBS' ""Animeism"" programming block and on BS11. The additional cast includes: M.A.O as An... ",positive,en,"{'https://twitter.com/anime': 1, 'https://www.youtube.com/c/animenewsnetworkANN': 1, 'https://www.facebook.com/animenewsnetwork': 1, 'https://www.instagram.com/animenewsnetwork/': 1, 'http://news.dexclub.com': 4, 'https://www.hidive.com/tv/ya-boy-kongming': 1, 'https://twitter.com/BeeDubsProwl': 1}"
