,Anime Word Count,Manga Word Count,Referent,Link,Detail,Sentiment
0,1,0,46,https://www.animenewsnetwork.com/news/,Anime Spotlight : ,neutral
1,1,0,46,https://www.animenewsnetwork.com/news/,Anime : ,neutral
2,2,0,46,https://www.animenewsnetwork.com/news/,"Crunchyroll to Remove Food Wars!, Akame Ga Kill, BanG Dream!, Girls und Panzer, No Game No Life, More Anime :  Anime leave service on March 31",positive
3,1,0,46,https://www.animenewsnetwork.com/news/,"The Rising of the Shield Hero 2 Anime Unveils New Video, Visual :  2nd season premieres on April 6",positive
4,1,0,46,https://www.animenewsnetwork.com/news/,Tatsunoko Pro's The Legend of Heroes: Sen no Kiseki Northern War Anime Reveals Visual : ,neutral
5,1,0,46,https://www.animenewsnetwork.com/news/,"Konomi Suzuki Featuring Kitaro Kousaka Performs Theme Song for Isekai Quartet: Another World Anime Film :    Mar 27, 17:16 1 comment                 anime                music    Film in crossover franchise opens in Japan on June 10 ― The official website for the Gekijо̄ban Isekai Quartet ~Another World~ (Isekai Quartet the Movie: Another World) crossover anime film revealed on Sunday that Konomi Suzuki featuring Kitaro Kousaka will perform the film's theme song ""Melodic Road Movie."" The film's original characters and their cast members are, from left to right below: Minami T...",positive
6,1,0,46,https://www.animenewsnetwork.com/news/,"The Seven Deadly Sins: Grudge of Edinburgh Anime Films Reveal Cast :    Mar 27, 16:09                 anime    Mikako Komatsu, Ayumu Murase play Meliodas' son Tristan as a boy, teenager; Yuuki Kaji returns as Meliodas ― Netflix revealed new cast members for The Seven Deadly Sins: Grudge of Edinburgh (Nanatsu no Taizai: Ensa no Edinburgh), the all-new two part anime film for Nakaba Suzuki's The Seven Deadly Sins (Nanatsu no Taizai) manga franchise, during the company's AnimeJapan 2022 stage event on Tuesday. Y...",negative
7,2,0,46,https://www.animenewsnetwork.com/news/,"2nd Sword Art Online Progressive Anime Film's Teaser Video Streamed :    Mar 27, 16:00                 anime    Anime celebrates reveals 10th anniversary with video, event in November ― A stage presentation for the Sword Art Online franchise at the AnimeJapan 2022 event on Sunday revealed a teaser video for Sword Art Online the Movie -Progressive- Kuraki Yūyami no Scherzo (Scherzo of a Dark Dusk), the second film in the Sword Art Online the Movie -Progressive- anime film series. The film will open in Japan thi...",negative
8,1,0,46,https://www.animenewsnetwork.com/news/,"Ghost in the Shell: SAC_2045 Anime Season 2's Trailer Reveals Insert Song, May 23 Debut :    Mar 27, 15:58                 anime    Scott Matthew performs insert song ""Don't Break Me Down"" ― Netflix unveiled a new trailer for the second season of the Ghost in the Shell: SAC_2045 anime during its AnimeJapan 2022 stage event on Sunday. The trailer reveals and previews the anime's insert song ""Don't Break Me Down"" by Scott Matthew, and also reveals the anime's May 23 worldwide debut date on Netflix. Netflix also unveiled a new visua...",negative
9,1,0,46,https://www.animenewsnetwork.com/news/,"Ultraman Season 2 Anime Highlights Maya in Character Video :    Mar 27, 15:27                 anime    Ayane Sakura voices character in sequel premiering on April 14 ― Netflix began streaming a new character video on Sunday for the second anime season based on Eiichi Shimizu and Tomohiro Shimoguchi's Ultraman manga. The video reveals that Ayane Sakura will voice the character Maya, a Wadoran alien. The anime will debut on Netflix worldwide on April 14. The new season's first episode will get an advanc...",positive
10,1,0,46,https://www.animenewsnetwork.com/news/,"Key's Prima Doll Anime Video Reveals More Staff, Song :    Mar 27, 15:18 2 comments                 anime    5 main voice actresses form Chat Noir unit to perform song ""Yumesaki Hare Butai"" ― The official YouTube channel for Visual Arts/Key's mixed media project Prima Doll began streaming a new promotional video for the project's television anime on Sunday. The video reveals more staff for the anime, and also reveals a song from the franchise titled ""Yumesaki Hare Butai"" by Chat Noir, a group comprised of t...",positive
11,1,0,46,https://www.animenewsnetwork.com/news/,"Nanoha Creator Masaki Tsuzuki's Extreme Hearts Anime Previewed in Video :    Mar 27, 14:13 1 comment                 anime    Series premieres on July 9; new visual, opening theme artist revealed ― A stage presentation at the AnimeJapan 2022 event on Sunday for Extreme Hearts, the new project from writer Masaki Tsuzuki, revealed a new promotional video. The event also revealed that voice actress Miho Okasaki is performing the anime's opening theme ""Infinite,"" and revealed that the show will premiere on July 9 at 25:30 (effe...",positive
12,1,0,46,https://www.animenewsnetwork.com/news/,"RPG Real Estate Anime Unveils More Cast, 2nd Key Visual :    Mar 27, 13:57 1 comment                 anime    Yoko Hikasa, Minami Takahashi, Honoka Kuroki join cast of April 6 anime ― The AnimeJapan 2022 stage event for the television anime of Chiyo Kenmotsu's RPG Real Estate (RPG Fudōsan) manga unveiled new cast members and the second key visual for the anime on Sunday. The new cast members include: Yoko Hikasa as Satona, a priest and the boss of Kotone's group Minami Takahashi as Seira, Satona's subordinat...",positive
13,1,0,46,https://www.animenewsnetwork.com/news/,"Chained Soldier Anime Adds 3 Cast Members :    Mar 27, 13:06 2 comments                 anime    Maaya Uchida, Nene Hieda, Reina Ueda play 6th Squad members ― The AnimeJapan 2022 stage event for the television anime adaptation of writer Takahiro and artist Yōhei Takemura's Chained Soldier (Mato Seihei no Slave or literally, Slave of the Magic Capital's Elite Troops) manga revealed three new cast members for the anime on Sunday. The new cast members all play characters that are part of the 6th An...",positive
14,1,0,46,https://www.animenewsnetwork.com/news/,"Golden Kamuy Anime Video Reveals October Premiere for 4th Season :    Mar 27, 13:00 2 comments                 anime    Brains Base takes over for Geno Studio in new season ― A stage presentation for the Golden Kamuy franchise at AnimeJapan 2022 on Sunday revealed that the fourth season of the anime will premiere in October on Tokyo MX and other stations. Brains Base will animate the new season instead of Geno Studio. Shizutaka Sugahara (D-Frag!) is the chief director, replacing director Hitoshi Nanba. Noboru Takagi i...",negative
15,1,0,46,https://www.animenewsnetwork.com/news/,"Netflix's Vampire in the Garden Anime Unveils New Trailer, May 16 Debut :    Mar 27, 10:33 5 comments                 anime    Wit Studio animates original anime with Ryoutarou Makihara directing ― Netflix began streaming an English-subtitled trailer and revealed an updated story synopsis for Wit Studio's original anime Vampire in the Garden on Sunday. The video reveals the anime's May 16 worldwide debut date on Netflix. Netflix also unveiled a new visual for the anime. Netflix's updated synopsis reads: The fateful meeting o...",positive
16,1,0,46,https://www.animenewsnetwork.com/news/,"Mahō Shōjo Magical Destroyers TV Anime Unveils Visual, Teaser Trailer :    Mar 26, 20:56 5 comments                 anime    Trailer shows new characters Magical Girl Pink, Magical Girl Blue ― The official website for Mahō Shōjo Magical Destroyers (Magical Girl Magical Destroyers), an original television anime by underground art and music creator Jun Inagawa, unveiled a new visual and teaser trailer for the anime on Saturday. The video reveals two characters, including Magical Girl Pink and Magical Girl Blue. Inagawa is cr...",positive
17,1,0,46,https://www.animenewsnetwork.com/news/,"Eminence in Shadow  Anime Reveals New Promo Video, October Premiere :    Mar 26, 20:40 6 comments                 anime    New visual also revealed ― A stage presentation at the AnimeJapan 2022 event on Saturday revealed a new promotional video and visual for the television anime of Daisuke Aizawa's The Eminence in Shadow (Kage no Jitsuryokusha ni Naritakute!) light novel series. The event also revealed that the anime will premiere in October. The anime stars: Seiichirō Yamashita as Cid Kagenou / Shadow Kana Hanazawa as ...",positive
18,1,0,46,https://www.animenewsnetwork.com/news/,"'Science Fell in Love, So I Tried to Prove it' Anime Season 2's Opening, Ending Sequences Previewed in Videos :    Mar 26, 18:38 1 comment                 anime    New season premieres on April 1 ― A stage presentation at the AnimeJapan 2022 event on Saturday revealed the opening and ending sequence videos for the second television anime season based on Alifred Yamamoto's Science Fell in Love, So I Tried to Prove it (Rikei ga Koi ni Ochita no de Shōmei Shite Mita) manga. Sora Amamiya performs the opening theme song ""Love-Evidence"" and CHiCO with Honeyworks meet...",positive
19,1,0,46,https://www.animenewsnetwork.com/news/,"Black Rock Shooter: Dawn Fall Anime Announces 4 More Cast Members :    Mar 26, 17:53 1 comment                 anime    Tomokazu Sugita, Akane Tomonaga, Saya Horigome, Asuka Itou join anime about humanity's war with AI ― The AnimeJapan 2022 stage event for the Black Rock Shooter: Dawn Fall television anime announced more cast members for the anime on Saturday: Tomokazu Sugita as Smiley Akane Tomonaga as Lunatic Saya Horigome as Norito Asuka Itou as Miya The previously announced cast includes: Yui Ishikawa as Empress (...",positive
20,1,0,46,https://www.animenewsnetwork.com/news/,"Anna Suzuki Performs New Opening Theme for Waccha PriMagi! Anime :    Mar 26, 16:42                 anime                music    Saki Yamakita from i☆Ris writes lyrics for new song ― Voice actress Anna Suzuki announced at the AnimeJapan 2022 event on Saturday that she will perform the new opening theme song ""Chasing the dream"" for the third cours (quarter of a year) of Waccha Purimaji! (Waccha PriMagi!), the latest television anime in Takara Tomy Arts and syn Sophia's Pretty Series franchise. Saki Yamakita from i☆Ris wrote the...",positive
21,1,0,46,https://www.animenewsnetwork.com/news/,"Haruna Mikawa, Kana Hanazawa Join Cast of 'When Will Ayumu Make His Move?' Anime :    Mar 26, 16:25 1 comment                 anime    Romantic comedy manga centering on shogi premieres in July ― The staff for the television anime of Sōichirō Yamamoto's When Will Ayumu Make His Move? (Sore Demo Ayumu wa Yosetekuru) manga revealed two more cast members at the AnimeJapan 2022 event on Saturday. The new cast includes Haruna Mikawa as Rin Kagawa and Kana Hanazawa as Maki. The anime stars: Yōhei Azakami as Ayumu Tanaka Kanna Nakamura as ...",positive
